name,cuisine,price,rating,city,area,restaurant_link,status,has_online_delivery,has_table_booking,cuisine_count,area_popularity,cost_numeric,cost_category,restaurant_type
Rainfall Restaurant - Flora Charishma,"Biryani, Chinese, South Indian, Kerala, North Indian, Seafood, Shake",₹700 for two,4.4,kochi,aluva,https://www.zomato.com/kochi/rainfall-restaurant-flora-charishma-aluva/info,Open,No,Yes,7,18,700,Medium,Premium
Zodiac - All Day Dining - Fortune Airport Road Kochi Member ITC Hotel's Group,"North Indian, Chinese, South Indian, Continental, Mughlai, Burger, Sandwich","₹2,000 for two",3.1,kochi,aluva,https://www.zomato.com/kochi/zodiac-all-day-dining-fortune-airport-road-kochi-member-itc-hotels-group-nedumbassery/info,Open,Yes,No,7,18,2000,High,Luxury
Thalassery Kitchen,"North Indian, Kerala, South Indian, Chinese, Street Food, Beverages",₹500 for two,3.9,kochi,aluva,https://www.zomato.com/kochi/thalassery-kitchen-aluva/info,Open,No,Yes,6,18,500,Low,Casual
Ila Restaurant Beirut Cafe,"Chinese, South Indian, Kerala",₹400 for two,4,kochi,aluva,https://www.zomato.com/kochi/ila-restaurant-beirut-cafe-aluva/info,Open,No,Yes,3,18,400,Low,Casual
Paradise Restaurant,"Kerala, Biryani",₹300 for two,,kochi,aluva,https://www.zomato.com/kochi/paradise-restaurant-aluva/info,Closed,Yes,No,2,18,300,Low,Casual
Fortune Deli - Fortune Airport Road Kochi Member ITC Hotel's Group,"Coffee, Tea, Shake, Cafe, Bakery, Sandwich, Juices",₹700 for two,,kochi,aluva,https://www.zomato.com/kochi/fortune-deli-fortune-airport-road-kochi-member-itc-hotels-group-nedumbassery/info,Open,No,No,7,18,700,Medium,Premium
Meenchatti Restaurant,"Kerala, North Indian, Chinese, Sichuan, Beverages",₹300 for two,3.6,kochi,aluva,https://www.zomato.com/kochi/meenchatti-restaurant-1-aluva/info,Open,No,No,5,18,300,Low,Casual
Nosh Haus,"Cafe, Coffee, Pizza, Burger, Sandwich, Salad, Desserts","₹1,000 for two",4.2,kochi,aluva,https://www.zomato.com/kochi/nosh-haus-3-aluva/info,Closed,Yes,No,7,18,1000,Medium,Premium
Surya Restaurant,"North Indian, Biryani, Chinese, Sichuan, Ice Cream, Beverages",₹500 for two,3.7,kochi,aluva,https://www.zomato.com/kochi/surya-restaurant-aluva/info,Open,Yes,No,6,18,500,Low,Casual
Rainfall Restaurant - Flora Charishma,"Biryani, Chinese, South Indian, Kerala, North Indian, Seafood, Shake",₹700 for two,4.4,kochi,aluva,https://www.zomato.com/kochi/rainfall-restaurant-flora-charishma-aluva/info,Closed,No,No,7,18,700,Medium,Premium
