name,cuisine,price,rating,city,area,restaurant_link,status,has_online_delivery,has_table_booking
Rainfall Restaurant - Flora Charishma,"Biryani, Chinese, South Indian, Kerala, North Indian, Seafood, Shake",₹700 for two,4.4,kochi,aluva,https://www.zomato.com/kochi/rainfall-restaurant-flora-charishma-aluva/info,Open,Yes,Yes
Paradise Restaurant,"Kerala, Biryani",₹300 for two,,kochi,aluva,https://www.zomato.com/kochi/paradise-restaurant-aluva/info,Open,No,No
Thalassery Kitchen,"North Indian, Kerala, South Indian, Chinese, Street Food, Beverages",₹500 for two,3.9,kochi,aluva,https://www.zomato.com/kochi/thalassery-kitchen-aluva/info,Closed,Yes,Yes
Ila Restaurant Beirut Cafe,"Chinese, South Indian, Kerala",₹400 for two,4,kochi,aluva,https://www.zomato.com/kochi/ila-restaurant-beirut-cafe-aluva/info,Open,Yes,Yes
Fortune Deli - Fortune Airport Road Kochi Member ITC Hotel's Group,"Coffee, Tea, Shake, Cafe, Bakery, Sandwich, Juices",₹700 for two,,kochi,aluva,https://www.zomato.com/kochi/fortune-deli-fortune-airport-road-kochi-member-itc-hotels-group-nedumbassery/info,Open,No,Yes
Nosh Haus,"Cafe, Coffee, Pizza, Burger, Sandwich, Salad, Desserts","₹1,000 for two",4.2,kochi,aluva,https://www.zomato.com/kochi/nosh-haus-3-aluva/info,Closed,No,Yes
Kamath's Restaurant,"North Indian, South Indian, Chinese, Fast Food, Desserts, Beverages","₹1,000 for two",4.2,kochi,aluva,https://www.zomato.com/kochi/kamaths-restaurant-aluva/info,Open,Yes,No
Shenoy's Pure Veg,"South Indian, North Indian, Chinese",₹250 for two,3.6,kochi,aluva,https://www.zomato.com/kochi/shenoys-pure-veg-aluva/info,Open,Yes,No
Castle Cafe - Hotel Airlink Castle,"Continental, South Indian, North Indian, Chinese, Biryani, Desserts, Beverages",₹800 for two,3.6,kochi,aluva,https://www.zomato.com/kochi/castle-cafe-hotel-airlink-castle-nedumbassery/info,Closed,Yes,Yes
Rainfall Restaurant - Flora Charishma,"Biryani, Chinese, South Indian, Kerala, North Indian, Seafood, Shake",₹700 for two,4.4,kochi,aluva,https://www.zomato.com/kochi/rainfall-restaurant-flora-charishma-aluva/info,Open,No,Yes
Paradise Restaurant,"Kerala, Biryani",₹300 for two,,kochi,aluva,https://www.zomato.com/kochi/paradise-restaurant-aluva/info,Open,Yes,No
Thalassery Kitchen,"North Indian, Kerala, South Indian, Chinese, Street Food, Beverages",₹500 for two,3.9,kochi,aluva,https://www.zomato.com/kochi/thalassery-kitchen-aluva/info,Closed,No,No
Ila Restaurant Beirut Cafe,"Chinese, South Indian, Kerala",₹400 for two,4,kochi,aluva,https://www.zomato.com/kochi/ila-restaurant-beirut-cafe-aluva/info,Open,Yes,Yes
Fortune Deli - Fortune Airport Road Kochi Member ITC Hotel's Group,"Coffee, Tea, Shake, Cafe, Bakery, Sandwich, Juices",₹700 for two,,kochi,aluva,https://www.zomato.com/kochi/fortune-deli-fortune-airport-road-kochi-member-itc-hotels-group-nedumbassery/info,Open,No,Yes
Nosh Haus,"Cafe, Coffee, Pizza, Burger, Sandwich, Salad, Desserts","₹1,000 for two",4.2,kochi,aluva,https://www.zomato.com/kochi/nosh-haus-3-aluva/info,Open,No,Yes
Kamath's Restaurant,"North Indian, South Indian, Chinese, Fast Food, Desserts, Beverages","₹1,000 for two",4.2,kochi,aluva,https://www.zomato.com/kochi/kamaths-restaurant-aluva/info,Open,Yes,No
Shenoy's Pure Veg,"South Indian, North Indian, Chinese",₹250 for two,3.6,kochi,aluva,https://www.zomato.com/kochi/shenoys-pure-veg-aluva/info,Open,No,No
Castle Cafe - Hotel Airlink Castle,"Continental, South Indian, North Indian, Chinese, Biryani, Desserts, Beverages",₹800 for two,3.6,kochi,aluva,https://www.zomato.com/kochi/castle-cafe-hotel-airlink-castle-nedumbassery/info,Closed,Yes,No
Latest Recipe - Le Méridien Kochi,"Biryani, Continental, Chinese, Kerala, South Indian, North Indian, Beverages, Desserts","₹2,500 for two",4.4,kochi,tripunithura,https://www.zomato.com/kochi/latest-recipe-le-méridien-kochi-marad/info,Open,No,Yes
Mosaic By Crowne Plaza Kochi,"Kerala, Continental, North Indian, South Indian, Chinese, Italian, Desserts, Beverages","₹3,000 for two",4.5,kochi,tripunithura,https://www.zomato.com/kochi/mosaic-by-crowne-plaza-kochi-marad/info,Open,Yes,Yes
Artiste- The Restaurant,"South Indian, North Indian, Asian, Kerala, Continental, Italian","₹1,200 for two",4.3,kochi,tripunithura,https://www.zomato.com/kochi/artiste-the-restaurant-marad/info,Open,No,Yes
Keshia - Radisson Blu Kochi,"Kerala, Continental, Asian, North Indian, Pasta, Fast Food, Shake","₹2,000 for two",4.3,kochi,tripunithura,https://www.zomato.com/kochi/keshia-radisson-blu-kochi-elamkulam/info,Open,No,No
Aroma Lounge & Deli By Crowne Plaza Kochi,"Biryani, Beverages","₹1,400 for two",3.8,kochi,tripunithura,https://www.zomato.com/kochi/aroma-lounge-deli-by-crowne-plaza-kochi-marad/info,Closed,Yes,Yes
Sree Muruga Cafe,"Kerala, South Indian",₹350 for two,3.9,kochi,tripunithura,https://www.zomato.com/kochi/sree-muruga-cafe-marad/info,Open,Yes,Yes
Hotel Sree Saravana Bhavan,"North Indian, South Indian, Chinese, Fast Food, Shake, Beverages","₹1,000 for two",4.3,kochi,tripunithura,https://www.zomato.com/kochi/hotel-sree-saravana-bhavan-tripunithura/info,Open,No,No
Hotel Anugraha,"South Indian, Kerala, North Indian, Beverages",₹400 for two,4.1,kochi,tripunithura,https://www.zomato.com/kochi/hotel-anugraha-vyttila/info,Open,No,No
Royal Bakers & Restaurant,"Biryani, Kerala, Chinese, Bakery, Sichuan",₹850 for two,4.1,kochi,tripunithura,https://www.zomato.com/kochi/royal-bakers-restaurant-tripunithura/info,Open,Yes,No
Latest Recipe - Le Méridien Kochi,"Biryani, Continental, Chinese, Kerala, South Indian, North Indian, Beverages, Desserts","₹2,500 for two",4.4,kochi,tripunithura,https://www.zomato.com/kochi/latest-recipe-le-méridien-kochi-marad/info,Open,Yes,Yes
Mosaic By Crowne Plaza Kochi,"Kerala, Continental, North Indian, South Indian, Chinese, Italian, Desserts, Beverages","₹3,000 for two",4.5,kochi,tripunithura,https://www.zomato.com/kochi/mosaic-by-crowne-plaza-kochi-marad/info,Open,No,Yes
Artiste- The Restaurant,"South Indian, North Indian, Asian, Kerala, Continental, Italian","₹1,200 for two",4.3,kochi,tripunithura,https://www.zomato.com/kochi/artiste-the-restaurant-marad/info,Open,No,Yes
Keshia - Radisson Blu Kochi,"Kerala, Continental, Asian, North Indian, Pasta, Fast Food, Shake","₹2,000 for two",4.3,kochi,tripunithura,https://www.zomato.com/kochi/keshia-radisson-blu-kochi-elamkulam/info,Open,No,No
Aroma Lounge & Deli By Crowne Plaza Kochi,"Biryani, Beverages","₹1,400 for two",3.8,kochi,tripunithura,https://www.zomato.com/kochi/aroma-lounge-deli-by-crowne-plaza-kochi-marad/info,Open,No,No
Sree Muruga Cafe,"Kerala, South Indian",₹350 for two,3.9,kochi,tripunithura,https://www.zomato.com/kochi/sree-muruga-cafe-marad/info,Open,Yes,Yes
Hotel Sree Saravana Bhavan,"North Indian, South Indian, Chinese, Fast Food, Shake, Beverages","₹1,000 for two",4.3,kochi,tripunithura,https://www.zomato.com/kochi/hotel-sree-saravana-bhavan-tripunithura/info,Open,No,Yes
Hotel Anugraha,"South Indian, Kerala, North Indian, Beverages",₹400 for two,4.1,kochi,tripunithura,https://www.zomato.com/kochi/hotel-anugraha-vyttila/info,Open,Yes,No
